X,Y,Z,fault_name
338810.3566789782,6575522.89740622,339.0,Kunanalling Fault
339642.2429363468,6574528.817553215,349.36996,Kunanalling Fault
340250.82548368815,6573707.835987566,346.85919,Kunanalling Fault
340723.9091255827,6572980.767714236,355.46411,Kunanalling Fault
341681.30577785685,6571135.9925817475,356.87772,Kunanalling Fault
342646.39503888536,6569276.394822399,382.66779,Kunanalling Fault
342802.9885906955,6568374.340630918,391.01172,Kunanalling Fault
342939.6554455097,6565677.790737393,386.14401,Kunanalling Fault
342900.7466867765,6564958.776134795,397.0556,Kunanalling Fault
342767.8059554959,6563761.263926545,396.05984,Kunanalling Fault
342618.38429394865,6563090.756517613,401.50977,Kunanalling Fault
341518.0202584326,6560219.7529528,416.36456,Kunanalling Fault
341322.4407002145,6559491.736741143,420.4791,Kunanalling Fault
340848.68877190235,6558241.730713166,415.07477,Kunanalling Fault
340209.2092478112,6556917.2248755675,396.65894,Kunanalling Fault
340003.2752804433,6556348.715263369,406.23074,Kunanalling Fault
339846.6235961957,6556073.723454177,404.9689,Kunanalling Fault
340526.33195684437,6553295.7051917575,419.25723,Kunanalling Fault
340545.85324941174,6552685.743904309,427.16629,Kunanalling Fault
340666.63705579436,6551664.571723075,439.32022,Kunanalling Fault
340710.55843993346,6550939.8688847795,437.31998,Kunanalling Fault
340710.55843993346,6550149.283970276,442.17191,Kunanalling Fault
340472.586005843,6548984.177586148,437.44144,Kunanalling Fault
340592.2135380631,6548428.191392743,427.35114,Kunanalling Fault
340749.54656244925,6548008.186501598,414.90192,Kunanalling Fault
341423.8091498997,6546503.6833397485,392.77982,Kunanalling Fault
342949.8246359088,6543307.135126372,387.2504,Kunanalling Fault
344910.0570437276,6539742.128538238,391.00369,Kunanalling Fault
345888.3379409852,6538075.613794239,403.54745,Kunanalling Fault
345971.39355485013,6537837.603198954,402.8446,Kunanalling Fault
346183.74312743824,6537450.602511111,408.15277,Kunanalling Fault
346396.09270002635,6537063.6018232675,408.91504,Kunanalling Fault
346849.26286330284,6535978.596849116,409.17664,Kunanalling Fault
347247.17872797186,6534869.600671762,415.54581,Kunanalling Fault
347366.68026036676,6534313.602478471,413.51212,Kunanalling Fault
347392.612099239,6533645.599179688,417.77359,Kunanalling Fault
347325.58147803735,6532291.0929751955,418.07339,Kunanalling Fault
347391.4585178945,6531607.102978733,419.97388,Kunanalling Fault
347565.96274797095,6531092.098788672,415.85229,Kunanalling Fault
349291.60326065874,6527924.294008441,417.8699,Kunanalling Fault
349476.93295330973,6527584.079298609,419.71555,Kunanalling Fault
349821.633896829,6526840.586318431,417.22415,Kunanalling Fault
350145.2173510386,6525914.088636963,405.44498,Kunanalling Fault
350448.6668197061,6524740.084454239,393.99377,Kunanalling Fault
351167.26043549826,6522763.096595501,373.30423,Kunanalling Fault
351424.8870677879,6522212.463610367,370.24442,Kunanalling Fault
351426.5706611905,6522212.461128151,370.24442,Kunanalling Fault
352046.3786543971,6520975.6109821545,363.62534,Kunanalling Fault
353239.8315017605,6518151.602303838,356.83282,Kunanalling Fault
353514.2394517667,6517320.091788232,356.00586,Kunanalling Fault
354203.05683140573,6514783.579014758,341.7308,Kunanalling Fault
354291.3972165056,6514180.070741188,333.59579,Kunanalling Fault
354368.84957811306,6513964.947081822,333.48846,Kunanalling Fault
354382.48682184564,6513927.069685773,333.41693,Kunanalling Fault
355322.9136223558,6512619.564737252,327.21628,Kunanalling Fault
355713.45655466546,6511980.560284891,327.76801,Kunanalling Fault
356155.79748337506,6510826.545416682,324.78375,Kunanalling Fault
356252.4583780363,6509896.021659487,319.58887,Kunanalling Fault
356241.14115500334,6508519.516538539,322.47021,Kunanalling Fault
356254.743488878,6508408.513800859,323.68912,Kunanalling Fault
355856.45403609495,6507695.000984848,328.48019,Kunanalling Fault
355466.32770178025,6507236.490477759,333.84201,Kunanalling Fault
355046.9508238067,6506885.483621257,335.82434,Kunanalling Fault
354399.6243635921,6506507.484177677,342.79413,Kunanalling Fault
354145.7390808908,6506358.989414709,351.45264,Kunanalling Fault
353895.78068526415,6506084.981756767,365.78934,Kunanalling Fault
353806.0144407265,6505717.976628066,369.80304,Kunanalling Fault
